TamanioMemoriaReal; TamanioTLB; TiempoDirecciones; TiempoDatos; NumeroDeFalloDePaginas 
8; 4; 43230;6690010650; 669
16; 4; 39270;5370014610; 537
32; 4; 31200;2680022680; 268
8; 8; 40792;6680010680; 668
16; 8; 36806;5370014610; 537
32; 8; 28556;2620022860; 262
8; 16; 40850;6690010650; 669
16; 16; 33310;5390014550; 539
32; 16; 25218;2730022530; 273
8; 32; 40908;6700010620; 670
16; 32; 33136;5360014640; 536
32; 32; 17592;2680022680; 268
